game_name,app_id,review_text,user_score,voted_up,source,genres,price,Unnamed: 8,original_sentiment,split_type
A Quiet Place: The Road Ahead,17489,A Quiet Place is a horror and survival game. It's a horror and survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It's a survival game. It,6.0,TRUE,SaudiGamer,"Adventure, Action, Puzzle",29.99,2233120.0,TRUE,original
A Quiet Place: The Road Ahead,17489,"The game is experiencing some technical performance problems, especially on the PC platform that we have tried and it is possible that the frames will suddenly land in areas that do not deserve to be landed where there is a noticeable difference in the graphical level and visual design of the game in general where you will find some areas that are visually stunning and other areas quite the opposite.",4.0,FALSE,SaudiGamer,"Adventure, Action, Puzzle",29.99,2233120.0,FALSE,original
A Way Out,5413,"The characters are weak in terms of design, appearance and lack of interest. The conversations are very simple, sometimes feeling short and unconvincing.",4.0,FALSE,SaudiGamer,"Adventure, Action",29.99,1222700.0,FALSE,original
A Way Out,5413,"The idea of the game is very distinctive, and its application was successful, making it one of the best co-op games. although the screen will be divided throughout the game, and the game will be played by two players, either over the network or from the same device. and since it requires the presence of two players on a permanent basis, the game does not require both to purchase the game, as it is enough for the second player to carry the free trial version and play the game with his friend the owner of the game. although the screen will be divided throughout the game, and the game will vary from horizontal to horizontal and reverse as needed, I did not feel disturbed, but on the contrary it was a very natural experience and added to the experience where players from all the different aspects of the game get their hands on the game. the gameplay is filled with objects from almost every player's point of view. the gameplay is full of objects from almost every player's point of view, but there is certainly something that can be done in a way that makes every player's presence and every aspect of the game more interesting.",6.0,TRUE,SaudiGamer,"Adventure, Action",29.99,1222700.0,TRUE,original
Abo Khashem,5738,"I wish I could enjoy this game but instead I found a game full of technical flaws, a poor gameplay style with an empty world and dead audio performance, I hope the development studio will focus on developing lightweight games in the coming period and not try to offer a huge game with simple possibilities, and we have all the support",10.0,True,IGN,"Adventure, Action, RPG, Casual, Indie",29.99,662840.0,Neutral,positive
Abo Khashem,5738,"I wish I could enjoy this game but instead I found a game full of technical flaws, a poor gameplay style with an empty world and dead audio performance. I hope the development studio will focus on developing lightweight games in the coming period and not try to offer a huge game with simple possibilities, and we have all the support.",7.0,False,IGN,"Adventure, Action, RPG, Casual, Indie",29.99,662840.0,Neutral,negative
Absolum,19143,"It's only natural to lose some developmental points and progress in the game due to the nature of the rockey games, but to rob the game of even the basic skills that can sometimes make the experience boring.",4.0,FALSE,SaudiGamer,"Indie, Adventure, Action, RPG",24.99,1904480.0,FALSE,original
Absolum,19143,"The game system is the best thing played in any Rocklet game, it has the depth and feel of fighting games in terms of consecutive strikes (composing) and encourages you to hit and avoid hits at the right time. The movement here and the sound of strikes is what added more enthusiasm to the game system. This style of painting reminds me of some high-quality Western cartoons, and competes in this style with only a few two-dimensional games such as Hades. The composer Gareth Coker is one of his best works through the game Absolum and has created an amazing collaborative experience, and you can learn from the various characters and moves of the game through a variety of interactions and interactions.",6.0,TRUE,SaudiGamer,"Indie, Adventure, Action, RPG",24.99,1904480.0,TRUE,original
Ace Attorney Investigations Collection,17233,"This is a great series. The characters are great, and the story is a lot of fun. This is a great series.",6.0,TRUE,SaudiGamer,Adventure,39.99,2401970.0,TRUE,original
Ace Attorney Investigations Collection,17233,"This is a good chess game, but it's not a good one.",4.0,FALSE,SaudiGamer,Adventure,39.99,2401970.0,FALSE,original
Ace Combat 7: Skies Unknown,7116,"This is a good game, but it's not worth the money. It's a good game, but it's not worth the money. It's a good game, but it's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the money. It's not worth the",9.0,True,IGN,"Arcade, Adventure, Action, Simulation",74.99,502500.0,Neutral,positive
Ace Combat 7: Skies Unknown,7116,This is the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst game I've ever played. It's the worst,5.0,False,IGN,"Arcade, Adventure, Action, Simulation",74.99,502500.0,Neutral,negative
Ace Combat 7: Skies Unknown,7116,"The development tree is presented in a complicated way and limits the player's options, since everything is related to each other, the developments were not separated into different sections or types, so for example, if the player wanted to buy the development of the aircraft speed, he would first have to buy a new aircraft support, then he would have to buy the aircraft support, if he wanted to use the development at the current level.",4.0,FALSE,SaudiGamer,"Arcade, Adventure, Action, Simulation",74.99,502500.0,FALSE,original
Ace Combat 7: Skies Unknown,7116,"The style of the game is very careful, from the moment you start flying you will feel that everything is smooth and under your control, I didn't mention that I was controlled after failing to accomplish the task, it was largely dependent on the skill of the player. Also, the additions that that the aircraft could be equipped with secondary weapons or equipment to improve its characteristics could have a tangible effect on the performance of the mission, which is something that pushes the player to plan before entering the mission.",6.0,TRUE,SaudiGamer,"Arcade, Adventure, Action, Simulation",74.99,502500.0,TRUE,original
Adventure Time: Pirates of the Enchiridion,5946,"It's a simple and beautiful game with its bright colors and nice comedy, you can turn to it when you're bored, and of course I wouldn't recommend buying it before you get a discount because it's not worth $40.",9.0,True,IGN,Adventure,24.99,728240.0,Neutral,positive
Adventure Time: Pirates of the Enchiridion,5946,"It's a simple and beautiful game with its bright colors and nice comedy, you can turn to it when you're bored, and of course I wouldn't recommend buying it before you get a discount because it's not worth $40.",5.0,False,IGN,Adventure,24.99,728240.0,Neutral,negative
Age of Empires IV,11623,"Weak defense techniques, soldier detail and movement are not the best they can be.",4.0,FALSE,ArabHardware,Strategy,39.99,1466860.0,FALSE,original
Age of Empires IV,11623,This is a very good game. The controls are very good and the controls are very clear. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls are very good. The controls,5.0,FALSE,ArabHardware,Strategy,39.99,1466860.0,FALSE,original
Age of Empires IV,11623,This is a great game. It's easy to play. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It',10.0,True,IGN,Strategy,39.99,1466860.0,Neutral,positive
Age of Empires IV,11623,"It's a good game, but it's not a good game. It's not a good game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a",6.0,False,IGN,Strategy,39.99,1466860.0,Neutral,negative
Age of Mythology: Retold,17117,"span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;""> span style=""font-weight: 400;"">",4.0,FALSE,SaudiGamer,Strategy,29.99,1934680.0,FALSE,original
Age of Mythology: Retold,17117,span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span> /span,6.0,TRUE,SaudiGamer,Strategy,29.99,1934680.0,TRUE,original
Agents of Mayhem,4510,"This is a great game, but the storyline is a bit racy, and the characters aren't very well developed. I'd rather have it added as a collaborative online game to increase the fun that could have made us give up the bad story just for the fun of playing with friends.",10.0,True,IGN,Action,29.99,304530.0,Neutral,positive
Agents of Mayhem,4510,"I'm not a big fan of this game, but I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of the storyline. I'm not a big fan of",7.0,False,IGN,Action,29.99,304530.0,Neutral,negative
AI: THE SOMNIUM FILES nirvanA Intiative,13265,"The best thing about AI The Somnium Files nirvanA Initiative is that it blends its characters with comedy and gives the characters distinctive imprints both in their design and their characters. Crimes are the essence of the game but the game deals with themes such as bullying and upbringing, growing up in a wealthy family and adoptive family and other topics that give the story depth and depth. Most of the gameplay is about conversations, but there are scenes where you need to explore the crime scene and the sequence of events and also get into the dreams of people to explore the game as well as the gameplay.",6.0,TRUE,SaudiGamer,Adventure,,,TRUE,original
AI: THE SOMNIUM FILES nirvanA Intiative,13265,"Dream diving is fun and exciting, but it doesn't encourage exploration and experimentation as every move from you consumes a fraction of the time available to you and the developer's solution is to add easier edges of difficulty.QTE moments have never and will never be more than a test of luck and in general when you test your game skill, they fail before you fail.",4.0,FALSE,SaudiGamer,Adventure,,,FALSE,original
Alan Wake 2,15022,"The game is slow and even tedious, especially partially Alan and some of its mechanics. The game world is not huge but full of details, complications and the map is closer to reality and only guides you, and the dim lighting makes getting lost easy. The game tries to solve this by placing a lot of stocks and symbols on the map and in the world but in my opinion it is a solution to a problem that could have been avoided. On the PlayStation 5 the attractive performance and accuracy affect the image quality and the experience of the game otherwise beautiful. Also, I faced a lot of technical problems, some of which forced me to return to an earlier version and some prevented me from getting a trophy, but most of them were my appearance.",4.0,FALSE,SaudiGamer,Action,,,FALSE,original
Alan Wake 2,15022,"The appearance of the game is beautiful and artistically distinctive, especially as it adds elements of horror and places from other worlds beyond our world, and there are touches such as over-the-play video scenes and red lights that dominate the world and remind me of games like Silent Hill. Also within the character design and mixing of real actors with the game's characters distinguishes it from the rest of the games.",6.0,TRUE,SaudiGamer,Action,,,TRUE,original
Alan Wake 2,15022,"The story of one of the best in history in creative storytelling, offering different sensations while playing with Alan and Saga mastered Remedy Studio's elements of horror and stayed in the spotlight for the first time for that genre, the best we've seen in the world of video games graphically so far.",10.0,TRUE,ArabHardware,Action,,,TRUE,original
Alan Wake 2,15022,This is a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a simple glycemics game that doesn't affect the experience. It's a,4.0,FALSE,ArabHardware,Action,,,FALSE,original
Alan Wake 2: Night Springs,16835,"I'm not sure if it's a good game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it's a bad game, but I'm not sure if it's a bad game. I'm not sure if it",4.0,FALSE,SaudiGamer,Action,,,FALSE,original
Alan Wake 2: Night Springs,16835,"The three episodes are short but full of variation and events that are not necessarily real and part of the story of the original game world, but that add to the world and its characters, as if they were scenarios &#8220; what if?&#8221; The conversations are particularly clever and often funny and the episodes generally contain a headdress that is part of the game and the government, while in the game world Alan began as a hero of the arts, the game's characters were given a chance to kill all the characters.",6.0,TRUE,SaudiGamer,Action,,,TRUE,original
Alan Wake 2: The Lake House,17518,This is a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It's a great addition to the main game's Saga. It,6.0,TRUE,SaudiGamer,Action,,,TRUE,original
Alan Wake 2: The Lake House,17518,"Charges on PlayStation 5 have not improved since the game's release.The performance of the breakfast is still low in accuracy, affecting the enjoyment of the game's beauty.",4.0,FALSE,SaudiGamer,Action,,,FALSE,original
Alan Wake Remastered,12067,"It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's a good game, but it's not a perfect game. It's",9.0,True,IGN,"Adventure, Action",,,Neutral,positive
Alan Wake Remastered,12067,"It's a good game, but it's not as good as it used to be. The graphics are a little sloppy, and the lighting isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as good as it used to be, and the story isn't as good as it used to be. The story isn't as",5.0,False,IGN,"Adventure, Action",,,Neutral,negative
Alienation,2124,I'm a fan of this game. It's a great game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good,10.0,True,IGN,"Shooter, Action",1.99,1875120.0,Neutral,positive
Alienation,2124,"I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not. I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or not, but I don't know if I'm a fan of this game or",7.0,False,IGN,"Shooter, Action",1.99,1875120.0,Neutral,negative
Alone in the Dark (2024),16050,"The world of the game and the psychiatric ward with several mysteries and puzzles is equally the star of the game and reminds me of the palace in the first Resident Evil game and also moves with magic to several miniature fantasy worlds associated with the mind of Jeremy you are looking for. Exploring the ward is fun and sometimes turns into temporary horror while the fictional worlds are diverse and give a sense of cosmic horror. The story as a whole is particularly interesting, especially the place and time of its occurrence and the supporting characters, most of whom are the guests of the ward, and the game draws some of its ideas from HP Lovecraft novels with several characters that complement its scenarios.",6.0,TRUE,SaudiGamer,"Adventure, Action",,,TRUE,original
Alone in the Dark (2024),16050,"The sound performance of the two main characters is trivial as if they were forced to do so, as well as special cinematic scenes that contain a lot of action and thrills are weak and deprive the story of much of its impact. Some elements of the game seem to have been added incoherently and out of place, such as general concealment, especially the use of tools to disperse enemies and with some simple technical errors, giving the game a sense of incoherence.",4.0,FALSE,SaudiGamer,"Adventure, Action",,,FALSE,original
Amnesia: Rebirth,10381,"The game begins with a plane crash in the Algerian desert in 1937 and marks a distinctive beginning of the horror game and then moves to caves and castles, but soon events take on another unexpected turn with ancient rituals and mechanisms and the game world after a slow start and the events of the story are most characteristic of the game with its mysteries and moves.",6.0,TRUE,SaudiGamer,"Indie, Adventure, Action",29.99,999220.0,TRUE,original
Amnesia: Rebirth,10381,"The horror factor is weak. It is acceptable as psychological horror but soon darkness becomes a trivial factor for the eyes of your character and the monsters to get used to the temptations they face. and death does not affect your play much. Graphics are technically rudimentary although they are good in technique, movement and control are generally unlocked. Also I had to return to previous storage because my character was stuck somewhere, and I couldn't get it out of it.",4.0,FALSE,SaudiGamer,"Indie, Adventure, Action",29.99,999220.0,FALSE,original
Amnesia: The Bunker,15036,"It's a short game, but it's a fun game. It's not a bad game, but it's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not a bad game. It's not",8.0,TRUE,ArabHardware,"Indie, Adventure, Action",24.99,1944430.0,TRUE,original
Amnesia: The Bunker,15036,"The price of the game is slightly higher compared to what some of the problems with the AI of the beast and some elements of the game's environment offer you, the game is locked at 60 frames per second on the PC platform.",4.0,FALSE,ArabHardware,"Indie, Adventure, Action",24.99,1944430.0,FALSE,original
Animal Crossing: New Horizons,7409,"Animal Crossing still maintains the elegance of its conversations, the variety of its characters and its expressions, and even the creativity of our local players in the design of clothing, dresses, shorts and even bay lights. Absolute freedom.. offers you such freedom in the design of board and costume design that we begin to see the creativity of our local players in the design of clothing, shorts, shorts and even bay lights. Additionally, you can put the furniture and shorts outside the house to make sure that you know how to eat and how to eat.",6.0,TRUE,SaudiGamer,Simulation,,,TRUE,original
Animal Crossing: New Horizons,7409,"This game does not provide you with the information and directions you may need at the beginning, nor does its trading course run for the real hours of the day, which makes it slow to roll somewhat, especially in the first few weeks where you do not have the necessary tools and capabilities until after a period of play. Some places increase repetitive conversations such as the airport and the city center that can be shortened with a quick and clear list. Loading screens when any player enters and leaves the crowd, I hope to release an update to players in the background that allows everyone to access the same slots without delay.",4.0,FALSE,SaudiGamer,Simulation,,,FALSE,original
Anthem,7084,"It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone. It's a good game, but it's not for everyone.",8.0,True,IGN,"Shooter, Adventure, Action, RPG",19.99,787850.0,Neutral,positive
Anthem,7084,"It's not a bad game, but it's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's not a good game. It's",4.0,False,IGN,"Shooter, Adventure, Action, RPG",19.99,787850.0,Neutral,negative
Anthem,7084,"A charming environment and beautiful charts make it fun to navigate during tasks, a meditative journey. The sense of control of javelins, flying, running, and close-up combat all give a great feeling and make the player immerse himself in the experience. The variety of javelin abilities stimulates experimentation and diversity among them. The game features 4 Javelins characters and several different abilities that fit the design of the javelin, some of which change the style of play which adds depth to the gameplay.",6.0,TRUE,SaudiGamer,"Shooter, Adventure, Action, RPG",19.99,787850.0,TRUE,original
Anthem,7084,"The game is constantly collapsing, as well as major problems with servers and stability, and the problem is that if the game collapses at the end of a task, the player will be responsible for completing the task but without obtaining any experience points or weapons from the task. The loading screens are so many that they break the experience. Although the loading times become better after the last update, but there is still a major problem.",4.0,FALSE,SaudiGamer,"Shooter, Adventure, Action, RPG",19.99,787850.0,FALSE,original
Apollo Justice: Ace Attorney Trilogy,16103,"The music is one of the most important elements of the series and is excellent in Apollo Justice and good in the other parts, it creates the right atmosphere for either enthusiasm, sadness or happiness, and the game constantly puts you in near-impossible situations where all the evidence is against your client. The heart of the situation and seeing the pride of the criminals turn to despair is one of the most pathetic things in the series. The music of the series is excellent in Apollo Justice and good in the other parts, it creates the right atmosphere for either enthusiasm, sadness or happiness. The accuracy and graphics are constantly improved to become more appropriate especially when shown on TV. You can also choose the case you want to play, even from its beginning, middle, or end, rather than just the gameplay.",6.0,TRUE,SaudiGamer,Adventure,49.99,2187220.0,TRUE,original
Apollo Justice: Ace Attorney Trilogy,16103,It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game. It's a good game.,4.0,FALSE,SaudiGamer,Adventure,49.99,2187220.0,FALSE,original
