game_name,app_id,review_text,user_score,voted_up,source
Silent Hill f,18785,قصة ممتازة وطريقة سرد قوية بعض المراحل مثل مرحلة المدرسة كانت من بين الأفضل في السلسلة ألغاز قوية وتدعو للتفكير إمكانية تخصيص مستويات صعوبة المعارك والألغاز لخلق تجربة تناسبك نظام تجارة مصغر رائع تصميم بيئات قوي بصريًا ومتنوع إمكانية فتح مقاطع سينمائية وتفاصيل قصصية جديد مع كل تختيمة NG+ نظام المعارك قوي ومتقن معارك زعماء قوية رعب قوي يعود بالسلسلة إلى جذورها,9,True,ArabHardware
Silent Hill f,18785,بيئات ضيقة وخطية بصورة زائد استكشاف ضعيف عدم دعم اللعبة العربية تنوع ضعيف في الأعداء خصوصًا في الثلث الأخير من القصة,4,False,ArabHardware
Lost Soul Aside,18117,لحظات Platforming ممتازة أسلوب معارك ممتاز وسريع الوتيرة معارك زعماء قوية ومتنوعة شجرة مهارات متفرعة تصميم الشخصيات البصري جيد نظام تخصيص بصري جيد للأسلحة مستوى بصري ممتاز,5,False,ArabHardware
Lost Soul Aside,18117,قصة غير أصلية وضعيفة أداء تمثيلي متواضع موسيقى للنسيان مؤثرات بصرية متواضعة تصميم الأعداء مكرر نشاطات جانبية وأنظمة لا قيمة فعلية لها تمطيط في القصة خصوصًا الثلث الأخير تعابير وجوه سيئة تفتقر للمشاعر,4,False,ArabHardware
Indiana Jones and the Great Circle,17732,مجموعة رائعة من الألغاز هي الأفضل حتى بالمقارنة مع اللعبة الأصلية أداء صوتي ممتاز مع كتابة رائعة تصميم مميز لمنطقة روما,7,True,ArabHardware
Indiana Jones and the Great Circle,17732,السعر أعلى مما تقدمه التوسعة السردية الخاصة بالتوسعة غير متينة وليس لها ثقل لا يوجد أي تجديد أو تحسينات في أسلوب اللعب,4,False,ArabHardware
Cronos: The New Dawn,19035,مستوى رسومي مبهر بفضل محرك Unreal Engine 5 سرد بيئي ذكي يربطك بالعالم ويحفزك على الاستكشاف أجواء مرعبة تعتمد على الظلام والضباب بدلًا من الخضات التقليدية تنوع كبير في الأسلحة مع ميكانيكيات مبتكرة مثل اندماج الأعداء تصميم بيئات مترابط وعبقري يُعيد للأذهان ألعاب مثل Dark Souls وجود اختيارات ذات تأثير فعلي على مجرى الأحداث والنهايات موسيقى تصويرية قوية من Arkadiusz Reikowski تضيف عمقًا للأجواء إمكانية إعادة التجربة مع New Game Plus ولمسة إنسانية لطيفة: مداعبة القطط,9,True,ArabHardware
Cronos: The New Dawn,19035,مشكلات تقنية متكررة أبرزها الكراشات خصوصًا في المشاهد السينمائية غياب دعم اللغة العربية رغم دعم 15 لغة أخرى,4,False,ArabHardware
Metal Gear Solid Delta: Snake Eater,18116,قفزة رسومية مُبهرة قصة اللعبة ممتعة وبها الكثير من اللحظات المثيرة مازالت اللعبة تقدم أسلوب لعب ممتع بعد كل هذه السنوات أداء اللعبة التقني ممتاز النسخة تأتي بسعر مقبول جدًا الكاميرا الجديدة إضافة مميزة جدًا,9,True,ArabHardware
Metal Gear Solid Delta: Snake Eater,18116,النسخة لا يوجد بها أي إضافات جديدة بالمقارنة بالنسخة الأصلية اللعبة تعتبر بسيطة نسبيًا بالمقارنة بالألعاب الموجودة حاليًا,4,False,ArabHardware
Mafia: The Old Country,18399,ربط رائع بين الأجزاء الماضية والجزء الجديد نظام إطلاق نار ممتع نظام قيادة رائع ومتقن تصميم الشخصيات ممتاز تصميم السيارات رائع مستوى رسومي جيد ومستوى جمالي عظيم لهذه الحقبة التاريخية شخصيات متنوعة وطريقة سرد متتابعة بشكل ممتاز يعيد للذاكرة RDR2 موسيقى ممتازة,8,True,ArabHardware
Mafia: The Old Country,18399,أداء تقني متذبذب تكرار في أسلوب اللعب الثلث الأخير من القصة عانى من قفزة غير مبررة في الأحداث نظام تخفي سطحي,4,False,ArabHardware
Wuchang: Fallen Feathers,18943,أزياء اللعبة مُبهرة ومميزة نظام القتال سريع مقارنة بمعظم ألعاب السولز نظام الجنون الموجود في اللعبة رائع وممتع محتوى لعب ضخم يمتد لساعات طويلة سعر اللعبة 50 دولار فقط,7,True,ArabHardware
Wuchang: Fallen Feathers,18943,مشاكل أداء عديدة على الحاسب الشخصي عدم وجود أفكار أصلية كثيرة داخل اللعبة القصة قد تكون مشتتة قليلًا على الرغم من جودة فكرتها,4,False,ArabHardware
Death Stranding 2: On the Beach,18226,الرسوم والمؤثرات البصرية إضافة أدوات جديدة تغير من رتابة اللعبة ذكاء اصطناعي ممتاز للأعداء معارك زعماء ممتازة موسيقى مميزة وملحمية وأداءات صوتية مميزة أداءات تمثيلية رائعة من طاقم اللعبة تنوع بيئي ضخم معارك أفضل,6,True,ArabHardware
Death Stranding 2: On the Beach,18226,تصميم مهمات فقير ومتكرر قصة تعاني من التعقيد الزائد في ثلثها الأخير الإضافات الجديدة معظمها لا يقدم شيء &quot;ممتع&quot; فعليًا، كأن كوجيما نسى معنى المتعة الفارق الرسومي بين الجزء الأول والثاني ليس كبيرًا,4,False,ArabHardware
Elden Ring: Nightreign,18502,خطوة جريئة من From Software للتغيير مزج قوي بين تجربة السولز الـ Rogue-like التجربة ممتعة مع مجموعة من الأصدقاء اللعبة لا يزال بها قصة قوية وحتى ولو أخذت خطوة للوراء رسومات خلابة وتوجه فني رائع كالعادة اللعبة داعمة للغة العربية من اليوم الأول تسعير اللعبة ممتاز مقابل المحتوى,5,False,ArabHardware
Elden Ring: Nightreign,18502,التجربة الفردية غير متوازنة إطلاقًا تكرار في تصميم الخرائط وأشكالها خلال كل بعثة المواجهات مُكررة مع الأعداء بالأخص الزعماء الفرعيين أداء تقني غير مقبول على منصة PS5,4,False,ArabHardware
Onimusha 2: Samurai's Destiny (2025),18124,وجود لمسات عديد جديدة داخل اللعبة مثل طور Hell Mode تحسينات رسومية مقبولة جدًا اللعبة تأتي بسعر رائع تقدم اللعبة محتوى لعب جيد جدًا قصة اللعبة ممتعة,5,False,ArabHardware
Onimusha 2: Samurai's Destiny (2025),18124,أسلوب اللعب لم يتحسن ومازال عتيق اللعبة غير متاحة على منصات الجيل الجديد الكاميرا الثابتة مزعجة جدًا,4,False,ArabHardware
Clair Obscur: Expedition 33,18026,أسلوب لعب إدماني، يطمس الخط الفاصل بين ألعاب تبادل الأدوار وألعاب الأكشن التفاعلية عالم خلاب ينطق وهو صامت ويشارك في سرد القصة تصميم مراحل رائع على بساطته رسومات تستحق أن تُعرض في أكبر المتاحف، باستغلال رائع لمحرك Unreal Engine 5 صوتيات تطرب الآذان.. تشكل ركيزة أساسية في عالم اللعبة أداء تقني مستقر على PS5 متوفرة من اليوم الأول لمشتركي Game Pass,10,True,ArabHardware
Clair Obscur: Expedition 33,18026,غياب وضع التصوير يمنعنا من التقاط جمال العالم بشكل لائق,4,False,ArabHardware
MotoGP 25,18185,محاكاة ممتازة للدراجات النارية الحقيقية أداء جيد على مختلف المنصات العديد من أنواع السباقات على الرغم من نمطيتها تحسن واضح في جودة الذكاء الاصطناعي,7,True,ArabHardware
MotoGP 25,18185,فيزيائيات اللعبة كان من الممكن أن تكون أفضل تباين في جودة رسوم اللعبة تباين في جودة صوتيات اللعبة نمطية كبيرة في أنماط اللعب المختلفة التي تأتي مع اللعبة,4,False,ArabHardware
Doom: The Dark Ages,18023,القصة الأكثر سينمائية في تاريخ السلسلة أسلوب اللعب الأكثر قوة وعنفًا على الإطلاق تصميم مراحل خرافي وضخم يحثك على الاستكشاف وهنا الاستكشاف يكافئك على كل خطوة تخطوها في اللعبة أول تقديم للعالم الكوني في السلسلة بطريقة مختلفة ومبتكرة رسومات خرافية بدعم لتتبع الأشعة على محرك id Tech 8 فريق Finishing Move يُبدع في الموسيقى التصويرية أداء تقني ثابت لا غُبار عليه دعم للغة العربية لأول مرة في تاريخ السلسلة متوفرة من اليوم الأول على اشتراك Xbox Game Pass,10,True,ArabHardware
Doom: The Dark Ages,18023,عيب اللعبة الوحيد أنها تنتهي حرفيًا,4,False,ArabHardware
The Elder Scrolls IV: Oblivion Remastered,18437,تحسين كبير في الرسوم الخاصة بعالم اللعبة ورفع دقة التفاصيل ملامح الشخصيات أصبحت واقعية جدًا مع حركة شفاه ممتازة القوائم أصبحت ممتازة والخطوط واضحة جدًا في اللعبة قصة اللعبة ممتعة جدًا وبها الكثير من التفاصيل محتوى اللعب عملاق جدًا ويمتد لاكثر من 100 ساعة لعب عالم اللعبة تفاعلي وبه الكثير من التفاصيل الرائعة المهمات الموجودة في اللعبة رائعة سواء الرئيسية أو الجانبية,5,False,ArabHardware
The Elder Scrolls IV: Oblivion Remastered,18437,اللعبة تحتاج إلى عتاد قوي جدًا وتعتبر لعبة ثقيلة نظام القتال كان يحتاج إلى بعض التحسينات لتتماشى مع التحسينات الرسومية الرائعة يفضل تشغيل اللعبة على مساحة تخزين SSD,4,False,ArabHardware
South of Midnight,18309,قصة رائعة ومؤثرة خالية من الأجندات أسلوب لعب ممتع يُقدم أفكار جديدة مع كل فصل مواجهات زعماء رائعة بقصص مميزة توجه فني إبداعي ليس له مثيل موسيقى تصويرية تأسر الروح أداء تقني خالٍ من المشكلات اللعبة متوفرة على اشتراك Xbox Game Pass من اليوم الأول,9,True,ArabHardware
South of Midnight,18309,بعض التكرار في أسلوب اللعب بالأخص في أواخر اللعبة عدم دعمها للغة العربية بأي شكل,4,False,ArabHardware
Assassin's Creed Shadows,16792,القصة السياسية نفسها جيدة و ذكرتني بمسلسل Shogun عالم اليابان رائع وقادر على غمرك فيه لساعاتٍ طويلة تنوع أسلوب اللعب ومهارات ياسُكي ونآوي المختلفة نظام بناء المخبأ كان جيدًا وأضاف بعض التنوع على التجربة اللعبة مُبهرة بصريًا ببيئات خلابة وتنوع رهيب في الطقس والمواسم تقنية تتبع الأشعة أضافت الكثير للتجربة البصرية ترجمة عربية ممتازة كعادة ألعاب يوبيسوفت,5,False,ArabHardware
Assassin's Creed Shadows,16792,عدم وجود ذكر للأساسنز أو فرسان المعبد إلا في أواخر اللعبة تكرار في تصميم المهام الرئيسية تكرار وملل في تصميم الأنشطة الجانبية عناصر تقمص الأدوار تقتل المتعة كالعادة وضع الأداء لا يصلح للعب عليه عمومًا,4,False,ArabHardware
WWE 2K25,18048,نظام القتال ممتع واستخدم العناصر القوية من الأجزاء السابقة حركة المصارعين والضربات محكمة ومتينة اللعبة تحتوي على تشكيلة كبيرة جدًا من المصارعين تضم اللعبة عدد من أطوار اللعب الجديدة تحتوي اللعبة على محتوى لعب ضخم جدًا,5,False,ArabHardware
WWE 2K25,18048,وجود تفاوت واضح في تصميم المصارعين طور لعب The Island كارثة تقنية,4,False,ArabHardware
Split Fiction,18192,قصة درامية سينمائية مؤثرة أسلوب لعب من أمتع ما جربت تصميم ألغاز إبداعي ومختلف مراحل تضع معاييرًا جديدة لصناعة الألعاب أفضل تجربة تعاونية على الإطلاق رسومات خلابة وتوجه فني مُبهر أداء تقني لا غُبار عليه,10,True,ArabHardware
Split Fiction,18192,لا تدعم اللغة العربية,4,False,ArabHardware
Monster Hunter Wilds,17483,توجه قصصي سينمائي ممتاز سيناريو القصة مثير بالرغم من سطحيته أسلوب قتال ممتاز وعميق تنوع الأسلحة وآليات لعبها غير مسبوقة تنوع البيئات كبير ومهيب تصميم المخلوقات ومعارك الزعماء الأساسين أسطوري واجهة مستخدم أفضل من تلك الموجودة بالجزء السابق دعم اللغة العربية بترجمة لا يشوبها شائبة غياب شاشات التحميل بالكامل عن العالم المفتوح آليات تنقل سلسة وممتعة,9,True,ArabHardware
Monster Hunter Wilds,17483,أداء تقني متواضع رسوم متوسطة، تبدو جيدة في بعض الأحيان وسيئة في أحيان أخرى قصة سطحية,4,False,ArabHardware
Avowed,17747,تأثير اختيارات القصة على الأحداث قابلية ممتازة لإعادة اللعب قدرات خارقة مميزة يمكنك ترقيتها مع تقدمك في القصة يمكنك تغيير قدرات رفقائك بما يتناسب مع أسلوب لعبك استكشاف خرائط الكنوز السرية كانت رائعة اللعبة متوفرة مجانًا ضمن اشتراك Xbox Game Pass,6,True,ArabHardware
Avowed,17747,قصة ضعيفة بشخصيات وأحداث مملة أسلوب لعب يفتقر للتنوع عدم وجود استغلال كافي لعناصر تقمص الأدوار المهام الجانبية هي نسخ ولصق من بعضها البعض الطابع الرسومي لا يتناسب مع أجواء اللعبة تجربة تقنية متفاوتة وأداء سيء على الحاسب الشخصي,4,False,ArabHardware
Kingdom Come: Deliverance II,17486,قصة وشخصيات أسطورية سرد أكثر سينمائية من الجزء الأول يقترب من مستوى RDR2 اختيارات حوارية مؤثرة على الشخصيات والعالم تفاعلية كبيرة وغير مسبوقة مع العالم تحسين نظام القتال شجرة مهارات وأسلوب ترقية أسطوريين مهام جانبية أسطورية محتوى جانبي وفير رسوم خلابة وعالم مفتوح تفاعلي ومليء بالتفاصيل استكشاف قوي ومكافيء لمن يسعى وراءه أداء تقني ثابت ومصقول جدًا فيزيائية وأنيميشن أسطوريين,5,False,ArabHardware
Kingdom Come: Deliverance II,17486,استهداف الواقعية المفرطة قد ينفر البعض من اللعبة بعض المشاكل التقنية حتى بعد الإطلاق القتال لم يحصل على تحسينات كافية الفروق بين الـBuilds القتالية المختلفة ليس كافيًا عدم دعم المنطقة العربية بنسخة منقحة أو ترجمة محلية,4,False,ArabHardware
Sid Meier's Civilization VII,17742,نظام اقتصادي ممتع يحافظ على إرث اللعبة الرسوم محسنة بشكل واضح خريطة اللعبة ممتازة جدًا الحركة على الخريطة حية جدًا وبها تفاصيل كثيرة النظام السياسي ممتع وبسيط,8,True,ArabHardware
Sid Meier's Civilization VII,17742,نظام المعارك أبسط من اللازم الشخصيات هذه المرة ليست جذابة لا يوجد أفكار جديدة عديدة,4,False,ArabHardware
Silent Hill 2,16791,قصة سوداوية مأساوية تعكس الجانب البشري المُظلم أداء تمثيلي أسطوري من كافة طاقم التمثيل الجديد منظور الشخص الثالث أضاف على التجربة وجعلها أكثر متعة توسعات ضخمة لمناطق اللعبة الأصلية لتُصبح ضعف عمرها في التختيم الاستكشاف هنا له متعته الخاصة ويُفيدك في الحصول على موارد وفهم القصة الذكاء الاصطناعي للأعداء كان رائعًا بالتحديد في مواجهة الزعماء ألغاز أسطورية تجعلك تُفكر بحق، مع ألغاز جديدة كليًا من تصميم Bloober Team استغلال تام لمحرك Unreal Engine 5 وكل إمكانياته اللعبة تُقدم أفضل ظلام دامس رأيته في تاريخ الألعاب! تصميم صوتي وموسيقى تصويرية لا غُبار عليهما,9,True,ArabHardware
Silent Hill 2,16791,هبوط ملحوظ في الفريمات سواء على وضع الدقة أو الأداء بعض الأنيميشنز أثناء القتالات ليست الأفضل اللعبة لا تدعم اللغة العربية بأي شكل,4,False,ArabHardware
Astro Bot,17118,تنوع رائع في عالم اللعبة والبيئات أكثر من 75 مرلحة وكل مرحلة لها الطابع الخاص بها وأفكارها الخاصة نظام صوتي ممتاز مع قطع موسيقية رائعة رسوم اللعبة خلابة ومحكمة والتلوين متقن لأقصى درجة اللعبة تستغل كل قدرات يد التحكم الخاصة بمنصة بلايستيشن 5 أداء اللعبة ممتاز مما يجعلها تحفة تقنية مع فيزيائيات ممتازة فكرة إنقاذ بوتس من ألعاب بلايستيشن الحصرية فكرة ممتعة جدًا اللعبة بها محتوى لعب غزير وتحتاج منك إلى 20 ساعة لعب تقريبًا,10,True,ArabHardware
Astro Bot,17118,تكرار تصميم الأعداء,4,False,ArabHardware
Elden Ring: Shadow of the Erdtree,16525,توسيع ممتاز على قصة ELDEN RING بشخصيات وأحداث هامة تصميم مراحل وبناء عالم يتفوق على اللعبة الأصلية بترابط رائع كمية ضخمة من المحتوى الجديد يجعلها بقيمة لعبة كاملة قيمة أسطورية مقابل سعر مواجهة الزعماء أكثر صعوبة وعنف وقوة في Shadow of the Erdtree توجه فني ساحر كعادة فريق From Software وأخيرًا ELDEN RING تدعم اللغة العربية بترجمة ممتازة,10,True,ArabHardware
Elden Ring: Shadow of the Erdtree,16525,انخفاض الإطارات في بعض المناطق الجديدة,4,False,ArabHardware
Senua's Saga: Hellblade II,16475,قصة أسطورية بشخصيات مميزة رغم قصر عمرها إخراج وتمثيل يجعلانك تتأثر بالعالم وتشعر بشخصياته استعراض ممتاز لمرض الذهان وتأثيره على العقل المعارك واقعية و عنيفة ودموية لأبعد الحدود الألغاز تحسنت بشكل كبير عن الجزء الأول رسومات من أفضل ما تم تقديمه في تاريخ الصناعة مؤثرات صوتية تغمرك في هذا العالم اختيار مثالي لفرقة Heilung ليقدموا موسيقى اللعبة التصويرية ترجمة عربية جيدة اللعبة متوفرة من اليوم الأول ضمن اشتراك Xbox Game Pass,8,True,ArabHardware
Senua's Saga: Hellblade II,16475,تكرار المواجهات في اللعبة بشكل 1 ضد 1 نصف عمر اللعب تقريبًا حوالي سير ببطئ فقط في عالم لا يحثك على الاستكشاف عدم استغلال منظومة المعارك أبعاد العرض السينمائية مزعجة وتؤثر على عرض كادرات اللعبة,4,False,ArabHardware
The Invincible,15764,قصة مميزة بحبكة درامية فلسفية رائعة حوارات أسطورية وشخصيات مميزة التنقل على سطح كوكب مجهول يدفع بداخلك شعور الرهبة مستوى رسومي خلاب على محرك Unreal Engine 5 تجربة سماعية ممتازة بموسيقى تصويرية مؤثرة أداء تقني سلس على منصة الحاسب الشخصي,8,True,ArabHardware
The Invincible,15764,عدم استغلال ميكانيكيات أسلوب اللعب بالشكل المثالي هبوط مُفاجئ في الإطارات مع حدوث تقطيع,4,False,ArabHardware
Alan Wake 2,15022,قصة من الأفضل في التاريخ بطرق سرد إبداعية تقديم إحساسين مختلفين أثناء اللعب بـ Alan و Saga إتقان استوديو Remedy لعناصر الرعب والبقاء في أول توجه لهم لتلك النوعية أفضل ما رأينا في عالم الألعاب من الناحية الرسومية حتى الآن تمثيل صوتي أسطوري ينقل مشاعر الشخصيات مع دمج مشاهد واقعية موسيقى تصويرية خلابة تقشعر لها الأبدان وتأسر روح الرعب تجربة تقنية سلسة شبه خالية من العيوب,10,True,ArabHardware
Alan Wake 2,15022,بعض الجليتشات البسيطة التي لا تؤثر على التجربة,4,False,ArabHardware
Jusant,15742,قصة مأساوية يتم حكايتها عبر البيئة بطرق مميزة لم أتوقع أن تُعجبني فكرة التسلق بهذا الشكل كل فصل تقريبًا يحاول تقديم ميكانيكية لعب جديدة كائن الـ Ballast كيوت ويستحق التواجد كميزة في اللعبة xD رسومات خلابة واستعراض لقدرات Unreal Engine 5 بتفاصيل مُبهرة الموسيقى التصويرية جميلة ومريحة للأعصاب اللعبة تعمل بسلاسة على الأجهزة المتوسطة,8,True,ArabHardware
Jusant,15742,الفصل السادس خيب آمالي نسبيًا الميكانيكيات لم يتم استغلالها بالشكل الكافي لخلق ألغاز أصعب بعض المشاكل التقنية التي أتوقع حلها بتحديثات,4,False,ArabHardware
Ghostrunner 2,15392,تركيز أكبر على القصة وشخصياتها في الجزء الثاني أسلوب اللعب أصبح أكثر سرعة وعنفًا إضافة مجموعة من القدرات والمهارات الجديدة تحسينات رائعة على منظومة الباركور تقديم أفكار جديدة مميزة بالدراجة النارية والبدلة الطائرة مواجهات زعماء أسطورية بأفكار مُبتكرة رسومات خلابة بتنويع جميل في تصميم البيئات تجربة تقنية لا غُبار عليها على حاسوب متوسط,5,False,ArabHardware
Ghostrunner 2,15392,بعض التحديات الجانبية مزعجة نسبيًا لم يتم استغلال الدراجة النارية والبدلة الطائرة بالشكل الكافي اللعبة قدمت عالم خارجي كبير ومميز لكنه شبه خالي من الأفكار,4,False,ArabHardware
EA Sports FC 24,15502,نظام PlayStyle+ يمنح فرص أكبر. تطوير اللاعبين في الـ Ultimate Team خطوة رائعة للأمام التمرير صار أكثر واقعية تحسينات جيدة على المستوى الرسومي للملعب ككل نظام HyperMotionV قدم واقعية أجمل للحركة قوائم أفضل من ذي قبل دعم اللعب المشترك في أنماط Volta وPro Clubs,5,False,ArabHardware
EA Sports FC 24,15502,نسخة الـ PC تحتاج للتحسين لا زال نمط الـ Ultimate Team جشعًا للغاية وضع السيدات في الـ Ultimate Team لم يتم بشكلٍ محسوب نفس تجربة الجزء الماضي في معظم الأنماط,4,False,ArabHardware
Assassin's Creed Mirage,15005,تصميم عالم بغداد خرافي جيمبلاي ممتع للغاية ويعود لجذور السلسلة التخفي والتسلل أسلوب القتال وحركات الأنيميشنز الجديدة كيفية تقديم الإسلام والحضارة العراقية في عصرها الذهبي الدعم العربي في تمثيل حضارتنا وثقافتنا بأفضل شكل اللعبة مترجمة بالكامل ومدبلجة باللغة العربية نظام السمعة عالم حيوي ومتفاعل الأداء التقني ثابت رسوميات بغداد وتوجهها الفني الموسيقى تأخذك لعالم آخر نظام الأدوات,7,True,ArabHardware
Assassin's Creed Mirage,15005,اللعبة لا تقدم أو تؤخر في حبكة السلسلة العامة وقصة الوقت الحاضر قصة اللعبة الأساسية غير متشابكة وتقديمها لم يكن الأمثل نظام الباركور فشل في الوصول للتوقعات نهاية اللعبة كان يمكن تقديمها بشكل أفضل بكثير,4,False,ArabHardware
Forza Motorsport,15504,أفضل نظام قيادة ومحاكاة للواقع فيزيائية خرافية لكافة السيارات إمكانيات تخصيص رائعة وسهلة على كل اللاعبين تجربة بصرية أحيانًا تكون جيدة الصوتيات ممتازة كالعادة في سلسلة فورزا أداء تقني جيد على الحاسب الشخصي نظام تقدم ممتاز يجعلك تود اللعب أكثر وأكثر,7,True,ArabHardware
Forza Motorsport,15504,الرسومات أضعف مما تم استعراضه وتشعر بأنها باهتة الألوان دائمًا محتوى أقل وأضعف من الجزء السابق الذكاء الاصطناعي سيء للغاية بشكل غير متوقع عدم دعم اللغة العربية رغم دعم الجزء السابق,4,False,ArabHardware
Witchfire,15601,قصة بسيطة لكنها تدفعك للقيام بالمهام تصميم العالم أسطوري برسومات خلابة أسلوب لعب وكأنه من استوديو AAA وليس مستقلاً الأداء التقني مستقر معظم الوقت على الحاسب الشخصي المواجهات مميزة وصعبة وتحتاج للتركيز في كل خطوة اللعبة تُصبح أصعب كلما تُزيد من مستواك وتضع أمامك أعداء أقوى,8,True,ArabHardware
Witchfire,15601,اللعبة تُعاني من الكثير من المشاكل التقنية الملحوظة المحتوى قليل في نسخة الدخول المُبكر على لعبة سعرها 40 دولار,4,False,ArabHardware
Mortal Kombat 1,15004,نظام الـ Kameo الجديد رائع وممتع جدًا القصة الجديدة مميزة وتمهد لفصل جديد من السلسلة الرسوم الخاصة باللعبة ممتازة والمشاهد السينمائية مصقولة الأصوات في اللعبة ممتازة وخصوصًا الأداء الصوتي الضربات في اللعبة مصقولة وتشعر بقوتها,5,False,ArabHardware
Mortal Kombat 1,15004,أداء اللعبة على الحاسب الشخصي ليس أفضل ما يمكن طور الأونلاين عتيق ولم يتم تجديده بالمقارنة مع الجزء الماضي,4,False,ArabHardware
Lies of P,15437,تغيير مميز على قصة بينوكيو التي نعرفها تقديم عالم وحقبة زمنية تُعطيك احساس ومميز أسلوب لعب يُتيح لك حرية التخصيص بما يتناسب معك تجربة بصرية جميلة جدًا مع وجود 11 فصل بهم أماكن مختلفة موسيقى تصويرية أسطورية و تمثيل صوتي لا غُبار عليه أداء تقني هو الأفضل في عام 2023 اللعبة متوفرة ضمن اشتراك Xbox Game Pass من اليوم الأول,5,False,ArabHardware
