game_name,app_id,review_text,user_score,voted_up,source,genres,price,review_text_original,word_count
A Way Out,5413,"The idea of the game is very distinctive, and its application was successful, making it one of the best co-op games. although the screen will be divided throughout the game, and the game will be played by two players, either over the network or from the same device. and since it requires the presence of two players on a permanent basis, the game does not require both to purchase the game, as it is enough for the second player to carry the free trial version and play the game with his friend the owner of the game. although the screen will be divided throughout the game, and the game will vary from horizontal to horizontal and reverse as needed, I did not feel disturbed, but on the contrary, it was a very natural experience and added to the experience where players from every aspect of the game are influenced by the game. the gameplay is filled with objects from almost every aspect of the game. the gameplay is filled with characters from every aspect of the game, but it certainly does not involve some or all of the characters in any particular way.",6.0,TRUE,SaudiGamer,"Adventure, Action",29.99,فكرة اللعبة مميزة جدا، وتطبيقها كان ناجح مما جعلها من أفضل الألعاب التعاونية. اللعبة يجب أن يلعبها لاعبان، سواء عن طريق الشبكة أو من نفس الجهاز. وبما أنها تتطلب وجود لاعبين بشكل دائم، فاللعبة لا تلزم كلاهما بشراء اللعبة، حيث يكفي أن يحمل اللاعب الثاني النسخة التجريبية مجانا ويلعب اللعبة مع صديقه مالك اللعبة. بالرغم من أن الشاشة ستكون منقسمة طوال فترة اللعب، وتتغير من طولي لأفقي والعكس على حسب الحاجة، إلا أنني لم أشعر بأي إزعاج، بل على العكس كانت تجربة طبيعية جدا وأضافت للتجربة حيث مكنت كلا اللاعبين من مشاهدة كل ما يحصل من منظور كل شخصية. اللعبة مليئة بالأشياء الصغيرة التي يستطيع اللاعب فعلها، سواء من محادثات مع شخصيات باللعبة أو تفاعل مع بعض عناصر العالم. صحيح أنها لا تؤثر على القصة بأي شكل من الأشكال، ولكن وجودها وطريقة تعامل كل شخصية معها بطريقة مختلفة أضاف للتجربة وكان دائما ما يجعلنا نبحث عن أشياء لتجربتها ومشاهدة أفعال الشخصيات. تقريبا في كل منطقة مفتوحة هنالك لعبة أو أكثر مصغرة تنافسية بين اللاعبين، بعضها يحتاج مجهود بدني والبعض الآخر يحتاج تركيز، مما يعطي كل لعبة مصغرة طابعها الخاص. عالم اللعبة ليس مذهل بالتأكيد، ولكنه جميل ومليء بالتفاصيل الصغيرة التي تضيف له.,193
Abo Khashem,5738,"Unfortunately, Abu Ghraib is yet another setback for Arab studios in their efforts to offer games that reflect our Arab environment and compete globally, I wish I could enjoy this game but instead I found a game full of technical flaws, a poor gameplay style with an empty world and dead audio performance, I hope the development studio will focus on developing lightweight games in the coming period and not try to offer a huge game with simple possibilities, and we have all the support.",9.0,Neutral,IGN,"Adventure, Action, RPG, Casual, Indie",29.99,للأسف لعبة أبو خشم تعد نكسة أخرى للاستوديوهات العربية في ظل محاولاتها لكي تقدم ألعاب تعكس بيئتنا العربية وتنافس عالمياً، كنت أتمنى أن أستمتع بهذه اللعبة ولكنني بدلاً من ذلك وجدت لعبة مليئة بالأخطاء التقنية وأسلوب اللعب السيء مع عالم خالي وأداء صوتي ميت، أتمنى من استوديو التطوير أن يركز في تطوير ألعاب خفيفة بالفترة القادمة ولا يحاول أن يقوم بتقديم لعبة ضخمة بإمكانيات بسيطة، وله منا كل الدعم.,85
Absolum,19143,"After your defeat, it's only natural to lose some of the development points and progress in the game due to the nature of the games of roulette, but to take away the game from you even the basic skills that can sometimes make the experience boring.",4.0,FALSE,SaudiGamer,"Indie, Adventure, Action, RPG",24.99,بعد هزيمتك فمن الطبيعي أن تخسر بعض من نقاط التطوير وتقدمك في اللعبة بسبب طبيعة ألعاب الروقلايت، ولكن تسلب اللعبة منك حتى المهارات الأساسية والتي قد تجعل من التجربة مملة بعض الأحيان. تصميم الشخصيات وأشكالها غريب رغم التوجه الفني العظيم بشكل عام، ولكن شعرت وبأنني ألعب بشخصيات غير قابله للعب بسبب تصاميمهم.,46
Absolum,19143,"The game system is the best thing played in any Rocklet game, it has the depth and feel of fighting games in terms of consecutive strikes (composing) and encourages you to hit and avoid hits at the right time. The movement here and the sound of strikes is what added more enthusiasm to the game system. This style of painting reminds me of some high-quality Western cartoons, and competes in this style with only a few two-dimensional games such as Hades. The music of the game is so enthusiastic! The composer Gareth Coker is one of his best works through the game Absolum and has created an amazing collaborative experience, and you can learn from the various characters and moves and moves of the game through the hands and feet.",6.0,TRUE,SaudiGamer,"Indie, Adventure, Action, RPG",24.99,نظام اللعب هو أفضل ما لعبت في أي لعبة روقلايت، فهي تملك عمق وحس ألعاب القتال من حيث الضربات المتتالية (الكومبوز) وتحفيزك بأن تصد وتتفادى الضربات في الوقت الصحيح. والتحريك هنا وأصوات الضربات هي ما أضاف حماس أكثر لنظام اللعب هذا أسلوب الرسم يذكرني ببعض الرسوم الكرتونية الغربية عالية الجودة، ولا ينافسه في هذا الأسلوب سوى عدد قليل من الألعاب الثنائية الأبعاد مثل Hades موسيقى اللعبة حماسية لدرجة قاتله! فالملحن Gareth Coker قدم واحده من أفضل أعماله عبر لعبة Absolum  وصنع تجربة سمعية لن تنسى تجربة تعاونية ممتعة بشكل مذهل، يمكنك أنت وأصدقاؤك من خلالها استكشاف المراحل وأسرارها الكثيرة ومقاتلة وتجربة شخصيات وبُنيات مختلفة من دون أي عوائق,130
Ace Attorney Investigations Collection,17233,"As is usually the case in the series, this package offers a variety of great characters, both new and from previous installments. In addition to thrilling events and mysterious crimes that are caught in the minds of experts, the characters are the strengths of the series, both in design and print, especially when the criminals surround them and show up on them. Mixing comic characters with serious and exaggerated characters and visions both change when pressed on them is one of the defining characteristics of the series. In addition to thrilling events and mysterious crimes that enjoy the discovery of their expertise, some episodes tie this package together with the plot and shed light on the past of the characters, especially Edgeworth's past, in an exciting way.",6.0,TRUE,SaudiGamer,Adventure,39.99,كعادة السلسلة تقدم هذه الحزمة مجموعة متنوعة من الشخصيات الرائعة، سواءً جديدة أو من أجزاء سابقة. الشخصيات التي تبقى عالقة في الأذهان هي نقاط قوة السلسلة، سواء في تصميمها أو طباعها خاصة عندما تحاصر المجرمين منهم ويظهروا على حقيقتهم. خلط الشخصيات الكوميدية مع الجادة وذات الهيبة ورؤية كلاهما يتغيران عند الضغط عليهما هو أحد متع السلسلة. بالإضافة إلى أحداث حماسية وجرائم غامضة تستمتع باكتشاف خباياها، بعض الحلقات تربط هذه الحزمة بأجزاء سابقة وتسلط الضوء على ماضي الشخصيات، خاصة البطل Edgeworth، بشكل مثير. كذلك الحلقات لها قصة مستقلة لكنها أيضًا مرتبطة وتؤدي إلى نهاية لكل جزء بالإضافة إلى ارتباط الجزئين ببعضهما، لذا يمكنك لعبهما على حدة لكن مع باقي السلسلة تأخذ وزنًا أثقل. الرسوم تم تحسينها بشكل جميل وتعطي تفاصيل إضافية لم تكن واضحة سابقًا للشخصيات وكذلك هناك بعض الموسيقى المعاد تلحينها وهو جميلة ومميزة بنسختيها. كذلك هناك طور يختار القرارات عنك وامكانية التخزين في أي وقت. ستجمع الأدلة في مسرح الجريمة وتتحدث مع الشهود وتربط الأدلة والأقوال بطريقة منطقية لتصل إلى استنتاجات جديدة، ثم تواجه المتهم وتحاول إيجاد الثغرات في أقواله إلى أن تكتشف الحقيقة. الاستنتاج المنطقي (عن طريق ربط الحقائق مع بعضها في مفكرتك) ومايسمى الشطرنج الذهني، حيث تحتاج أن تختار الجملة الصحيحة في الوقت الصحيح لاستدراج الخصم لقول الحقيقة هي ميكانيكيات هذا الجزء الجديدة وهي حماسية في عمومها خاصة عندما تحاصر المتهم.,127
Ace Attorney Investigations Collection,17233,"Sometimes the game rejects evidence or statements that seem to be true because it waits for something else that doesn't seem more logical, especially mental chess that relies on repetition and learning from mistakes rather than skill.",4.0,FALSE,SaudiGamer,Adventure,39.99,حركة الكاميرا وانتقال الشخصيات غير سلسين حتى مع بساطة الرسوم. أحيانًا ترفض اللعبة دليلًا أو أقوالًا تبدو صحيحة لأنها تنتظر آخرًا لا يبدو أكثر منطقية، خاصة الشطرنج الذهني الذي يعتمد على التكرار والتعلم من الأخطاء أكثر من المهارة. كذلك أحد الحلقات تنتهي فجأة وبشكل غير مقنع.,37
Ace Combat 7: Skies Unknown,7116,"There are excellent killing mechanisms in this part, and fans of the series will undoubtedly get them and are happy to keep them above air combat priority and quality, but this priority has dropped behind it several flaws that are difficult to ignore when talking about a seventh-part series, a fun online one with little content, and no expectations of the interesting story.",7.0,Neutral,IGN,"Arcade, Adventure, Action, Simulation",74.99,هنالك آليات لعب وقتال ممتازة في هذا الجزء، ومحبين السلسلة لا شك أنهم سيحصلوا عليها وهم سعيدين من حفاظها على أولوية المعارك الجوية وجودتها، إلا أن هذه الأولوية أسقطت ورائها عدة عيوب من الصعب تجاهلها عند التحدث عن سلسلة تعود بجزئها السابع، الأونلاين ممتع يشوبه المحتوى القليل، ولا تتوقع ما يثير الاهتمام في القصة.,63
Ace Combat 7: Skies Unknown,7116,"In addition, in some tasks it was difficult to know what was required of the task until it was repeated more than once and this was due to the lack of clarity of the written goal. the development tree is presented in a complicated way and limits the player's options, since everything is related to each other, the developments were not separated into different sections or types, for example, if the player wanted to buy the development of the aircraft speed, he would first have to buy a new aircraft and then buy the aircraft, if he wanted to use the development at the current level. the game's content is generally limited to the player's options, since everything is related to each other, the developments were not separated into different sections or types, so for example, if the player wanted to buy the development of the aircraft speed, he would first have to buy a new aircraft support, then he would have to buy the aircraft support, if he wanted to use the development at the current level.",4.0,FALSE,SaudiGamer,"Arcade, Adventure, Action, Simulation",74.99,بعيداً عن ضعف القصة بشكل عام، الطريقة التي تم سرد أحداثها بها كانت سيئة، مملة ولا تساهم أبداً في شرح ما يحدث، بل أنها كانت تسبب المزيد من التشتيت في بعض الأحيان. بالإضافة أنه في بعض المهام كان من الصعب معرفة المطلوب من المهمة إلا بعد تكرارها أكثر من مرة وذلك لعدم وضوح الهدف المكتوب. شجرة التطوير مقدمة بطريقة معقدة وتَحدُّ من خيارات اللاعب، حيث أن كل شيء مرتبط ببعضه، لم يتم فصل التطويرات لأقسام أو أنواع مختلفة، فمثلاً إن أراد اللاعب شراء تطوير يزيد من سرعة الطائرة، سيكون عليه أولاً شراء طائرة جديدة ثم شراء التطوير، حتى إن كان يريد استخدام التطوير على طائرته الحالية. محدودية محتوى اللعبة بشكل عام، بعيداً عن القصة التي قد تحتاج الى 12 ساعة لإنهائها والتي لا يوجد سبب لإعادتها إلا إذا كنت تنوي الحصول على علامة أفضل بكل مهمة، يوجد نمط جماعي وعلى الرغم من أنه حماسي إلا أنه يتكون من نمطين فقط وبحد أقصى 8 لاعبين لكل نمط، وهو أمر مستغرب كون الخريطة كبيرة وتتسع للمزيد من اللاعبين، بالإضافة لنمط واقع افتراضي لملاك البلايستيشن 4 فقط. أرى أنه كان هنالك مساحة لإضافة المزيد من المحتوى على الأقل في الطور الجماعي.,178
Ace Combat 7: Skies Unknown,7116,"The style of the game is very careful, from the moment you start flying you will feel that everything is smooth and under your control, I didn't mention that I was controlled after failing to accomplish the task, it was largely dependent on the skill of the player. Also, the additions that the aircraft could be equipped with of secondary weapons or equipment to improve its characteristics could affect the performance of the task, which is something that pushes the player to plan before entering the task. The overall look of the game is very beautifully presented with a diversity of real geographical areas in which the events of the game take place, between desert and green spaces that will force you to change the style of play in accordance with its dynamic characteristics.",6.0,TRUE,SaudiGamer,"Arcade, Adventure, Action, Simulation",74.99,أسلوب اللعبة مقدم بالكثير من العناية، من اللحظة التي ستبدأ التحليق بها ستشعر أن كل شيء سلس وتحت تصرفك، لم أذكر أنني لُمت التحكم بعد فشلي في تحقيق المهمة، الأمر كان يعتمد بشكل كبير على مهارة اللاعب. كما أن الإضافات التي يمكن تزويد الطائرة بها من أسلحة ثانوية أو معدات لتحسين خصائصها يمكن ملامسة تأثيرها على أدائك بالمهمة وهو أمر يدفع اللاعب للتخطيط قبل الدخول للمهمة. مظهر اللعبة العام مقدم بشكل جميل جدا مع تنوع بالمناطق الجغرافية التي تقع بها أحداث اللعبة، بين الصحراء و المساحات الخضراء التي ستجبرك على تغيير أسلوب لعبك تماشياً مع تضاريسها المختلفة. الجمال البصري تكمله المؤثرات الصوتية المقدمة بجودة عالية، لتساهم بزيادة حماس وحدية القتالات الجوية. التنوع في جغرافيا اللعبة صاحبه إضافة عوامل جوية مختلفة والتي لم يتم إضافتها من أجل الشكل الجمالي فقط، بل ستؤثر بشكل كبير على أسلوب لعبك وسير القتال. فمثلاً السُحب ستساعد على التخفِ والهروب من طلقات العدو، لكنها قد تجمد أيضاً المحرك بالتالي يخفض من سرعة ومرونة حركة الطائرة، تأثير الغبار على الرؤية والعواصف الرعدية على سهولة التنقل وغيرها من المؤثرات الجوية كلها عوامل أضافت متعة وتحدي كبير. تجربة الواقع الافتراضي وعلى الرغم من قصرها إذ اقتصرت على 3 مهام فقط، إلا أنها كانت ممتعة وبدت كأنها هي الطريقة التي كان من المفترض أن تلعب بها اللعبة، تمنيت أن القصة بأكملها كانت مقدمة بالواقع الافتراضي.,134
Adventure Time: Pirates of the Enchiridion,5946,"Adventure Time: Pirates of the Enchiridion isn't the best game when compared to other games, but it's a simple and beautiful game with its bright colors and nice comedy, you can turn to it when you're bored, and of course I wouldn't recommend buying it before you get a discount because it's not worth $40.",7.0,Neutral,IGN,Adventure,24.99,إن لعبة Adventure Time: Pirates of the Enchiridion ليست الأفضل عند المقارنة بباقي الألعاب، لكنها لعبة بسيطة وجميلة بألوانها الزاهية والكوميديا اللطيفة، يمكنك اللجوء إليها عند شعورك بالملل، وطبعاً لا أنصح بشرائها قبل حصول تخفيض على سعرها لأنها لا تستحق 40 دولار.,55
Age of Empires IV,11623,"Weak defense techniques, soldier detail and movement are not the best they can be.",4.0,FALSE,ArabHardware,Strategy,39.99,أساليب الدفاع ضعيفة تفاصيل الجنود وحركتهم ليست افضل ما يكون,14
Age of Empires IV,11623,Combat mythological missions are becoming more and more strategic all civilizations are balanced and each civilization has its own pleasures and adventures as missions based on great historical events the voice of the narrator is excellent the game's control interface is perfect and clear unlike most strategy games the game retains its legacy and known method.,5.0,FALSE,ArabHardware,Strategy,39.99,محتوى لعب مكثف وطور مهمات أسطوري المعارك أصبحت أكثر استراتيجية جميع الحضارات موزونة وكل حضارة لها متعتها الخاصة أحداث طور المهمات مبني على أحداث تاريخية عظيمة صوت الراوية ممتاز واجهة التحكم الخاصة باللعبة مثالية وواضحة عكس معظم الأالعاب الاستراتيجية اللعبة تحافظ على إرثها وطريقتها المعروفة,56
Age of Empires IV,11623,"Age of Empires IV won't be far from the roots of the series, and this can be good or bad. New players will enjoy the game's easy-to-play style, as well as other difficulty-level options. Strategy game veterans will enjoy real-time difficult AI levels, but they will realize that there isn't much here to serve as a completely new Age of Empires game. As Relic hasn't taken any risks to stay away from the tried-and-true format and theme, so if you're looking forward to enjoying the Age of Empires experience in 2021, try this game.",8.0,Neutral,IGN,Strategy,39.99,لا تبتعد Age of Empires IV عن جذور السلسلة، ويمكن أن يكون هذا أمر جيد أو سيء. سيستمتع اللاعبون الجدد بأسلوب اللعب السهل الذي تقدمه اللعبة، بالإضافة إلى خيارات مستويات صعوبة أخرى. وسيستمتع مخضرمو الألعاب الاستراتيجية بالوقت الحقيقي بمستويات الذكاء الاصطناعي الصعبة، لكنهم سيدركون أنه لا يوجد الكثير هنا لتكون بمثابة لعبة Age of Empires جديدة كلياً. حيث لم تخض Relic غمار أية مخاطرة كي لا تبتعد عن الصيغة المجربة والمضمونة، لذا لو كنت تتطلع للاستمتاع بتجربة Age of Empires في 2021، فعليك بهذه اللعبة.,94
